date|time|description|vendor|amount
2024-10-18|16:34:10|Paycheck|Bonus Room Bar LLC|750.00
2024-10-17|09:12:45|Paycheck|Bonus Room Bar LLC(bonus)|800.00
2024-10-15|08:33:21|Phone Bill|T-Mobile|-45.00
2024-10-11|14:55:30|Purchase|Amazon|-70.00
2024-10-10|10:11:11|Zelle Received|Boyfriend|1000.00
2024-10-01|08:22:34|Zelle Payment|Mom|-60.00
2024-09-29|19:23:45|Dinner Purchase|UberEats|-50.00
2024-09-29|12:45:30|Lunch|CatchSteak|-300.00
2024-09-27|13:45:09|ApplePay|Danica|-20.00
2024-09-27|13:45:09|ApplePay|Jesse|-20.00
2024-09-27|14:55:30|Purchase|Fashion Nova|-180.00
2024-09-15|14:55:18|Stipend|YearUp|100.00
2024-09-13|12:56:18|Stipend|YearUp|100.00
2024-08-30|11:12:45|Refund|Amazon|30.00
2024-08-30|11:33:44|Power Bill|Con Edison|-70.00
2024-08-25|13:29:56|Refund|Amazon|40.00
2024-08-16|09:44:30|Power Bill|Con Edison|-60.00
2024-08-02|08:33:21|Phone Bill|T-Mobile|-45.00
2024-07-19|14:55:30|Purchase|NOBU|-80.00
2024-07-05|10:29:11|Paycheck|Bonus Room Bar LLC|650.00
2024-06-21|17:12:45|Amazon Purchase|Amazon|-75.00
2024-05-10|09:44:18|Refund|Amazon|35.00
2024-04-12|07:45:16|Phone Bill|T-Mobile|-55.00
2024-04-01|18:29:45|Paycheck|Bonus Room Bar LLC|750.00
2024-03-15|16:34:10|Fashion Nova Purchase|Fashion Nova|-90.00
2024-03-01|14:52:14|Amazon Purchase|Amazon|-60.00
2024-02-26|12:37:21|Apple Pay Payment|Kyle|-25.00
2024-01-29|10:54:12|Refund|Amazon|40.00
2024-01-15|09:12:45|Phone Bill|T-Mobile|-50.00
2024-01-02|08:15:34|Paycheck|Bonus Room Bar LLC|540.00
2023-12-27|18:29:45|Birthday Money|Dad|700.00
2023-12-13|16:34:10|Purchase|Zara|-90.00
2023-11-29|14:52:14|Refund|Amazon|40.00
2023-11-15|12:37:21|Apple Pay Payment|Danica|-25.00
2023-11-01|10:54:12|Dinner Purchase|UberEats|-60.00
2024-10-17|15:06:48|water bill|con ed|-24.00
2024-10-18|01:42:50|Zelle|Dad|100.00
2024-10-18|01:45:16|Zelle|mom|-32.00
2024-10-18|01:51:40|PAYCHECK|WALMART|20.00
2024-10-18|01:58:20|Paycheck|walmart|10.00
2024-10-18|08:40:47|ApplePay|My Dad|20.00
2024-10-18|08:41:09|Utility Bill|Con edison|-225.00
2024-10-18|15:07:18|Return|Zara|360.00
2024-10-18|15:53:18|Zelle|Dad|5.00
2024-10-18|15:53:48|rent|EPP MGMT|-1900.00
2025-01-17|10:02:23|paycheck|apple store|550.00
2025-01-17|10:14:32|apple pay|Musa|100.00
2025-01-17|10:14:59|phone bill|T-Mobile|-115.00
